timestamp,open,high,low,close,volume,datetime,symbol
1776470400000,2417.7,2423.05,2417.7,2420.35,0.1326,2026-04-18 00:00:00+00:00,ETH/USDT
1776470700000,2420.89,2420.89,2420.89,2420.89,0.0057,2026-04-18 00:05:00+00:00,ETH/USDT
1776471000000,2420.89,2420.89,2420.89,2420.89,0.0,2026-04-18 00:10:00+00:00,ETH/USDT
1776471300000,2417.16,2420.9,2417.0,2420.9,5.7556,2026-04-18 00:15:00+00:00,ETH/USDT
1776471600000,2419.99,2419.99,2419.99,2419.99,0.0051,2026-04-18 00:20:00+00:00,ETH/USDT
1776471900000,2420.52,2420.52,2420.52,2420.52,0.0062,2026-04-18 00:25:00+00:00,ETH/USDT
1776472200000,2422.35,2422.35,2410.0,2411.66,1.4943,2026-04-18 00:30:00+00:00,ETH/USDT
1776472500000,2413.17,2420.02,2410.73,2416.49,11.8897,2026-04-18 00:35:00+00:00,ETH/USDT
1776472800000,2416.37,2416.37,2412.67,2414.42,10.9673,2026-04-18 00:40:00+00:00,ETH/USDT
1776473100000,2418.0,2419.22,2417.18,2419.22,0.4985,2026-04-18 00:45:00+00:00,ETH/USDT
1776473400000,2422.4,2422.4,2421.31,2421.31,0.0268,2026-04-18 00:50:00+00:00,ETH/USDT
1776473700000,2422.78,2422.78,2421.71,2421.71,1.2265,2026-04-18 00:55:00+00:00,ETH/USDT
1776474000000,2418.56,2419.91,2417.88,2419.91,0.0128,2026-04-18 01:00:00+00:00,ETH/USDT
1776474300000,2421.29,2423.16,2421.29,2422.54,0.1435,2026-04-18 01:05:00+00:00,ETH/USDT
1776474600000,2423.33,2427.21,2423.33,2427.21,0.1616,2026-04-18 01:10:00+00:00,ETH/USDT
1776474900000,2424.5,2424.5,2423.83,2423.83,0.7511,2026-04-18 01:15:00+00:00,ETH/USDT
1776475200000,2423.81,2423.81,2423.13,2423.13,0.028,2026-04-18 01:20:00+00:00,ETH/USDT
1776475500000,2424.84,2424.84,2424.84,2424.84,0.0065,2026-04-18 01:25:00+00:00,ETH/USDT
1776475800000,2424.84,2424.84,2424.84,2424.84,0.0,2026-04-18 01:30:00+00:00,ETH/USDT
1776476100000,2420.95,2420.95,2420.31,2420.47,0.232,2026-04-18 01:35:00+00:00,ETH/USDT
1776476400000,2421.11,2422.75,2419.58,2420.34,4.6922,2026-04-18 01:40:00+00:00,ETH/USDT
1776476700000,2422.89,2422.89,2419.62,2419.62,1.2151,2026-04-18 01:45:00+00:00,ETH/USDT
1776477000000,2419.62,2419.62,2419.62,2419.62,0.0,2026-04-18 01:50:00+00:00,ETH/USDT
1776477300000,2419.28,2419.28,2418.94,2418.94,0.0134,2026-04-18 01:55:00+00:00,ETH/USDT
1776477600000,2418.94,2418.94,2418.94,2418.94,0.0,2026-04-18 02:00:00+00:00,ETH/USDT
1776477900000,2418.99,2420.81,2418.99,2419.28,0.1101,2026-04-18 02:05:00+00:00,ETH/USDT
1776478200000,2419.85,2420.09,2419.85,2420.09,0.0033,2026-04-18 02:10:00+00:00,ETH/USDT
1776478500000,2422.77,2422.77,2422.52,2422.52,0.8749,2026-04-18 02:15:00+00:00,ETH/USDT
1776478800000,2424.67,2424.67,2423.96,2423.96,0.1423,2026-04-18 02:20:00+00:00,ETH/USDT
1776479100000,2422.54,2422.54,2422.54,2422.54,0.6173,2026-04-18 02:25:00+00:00,ETH/USDT
1776479400000,2419.67,2419.67,2419.66,2419.66,0.408,2026-04-18 02:30:00+00:00,ETH/USDT
1776479700000,2422.87,2422.87,2422.87,2422.87,0.8825,2026-04-18 02:35:00+00:00,ETH/USDT
1776480000000,2422.87,2422.87,2422.87,2422.87,0.0,2026-04-18 02:40:00+00:00,ETH/USDT
