timestamp,open,high,low,close,volume,datetime,symbol
1776470400000,77054.77,77192.95,77054.77,77192.95,0.00609,2026-04-18 00:00:00+00:00,BTC/USDT
1776470700000,77199.6,77199.67,77137.8,77137.8,0.00337,2026-04-18 00:05:00+00:00,BTC/USDT
1776471000000,77124.48,77165.91,77106.45,77118.81,0.00162,2026-04-18 00:10:00+00:00,BTC/USDT
1776471300000,77167.13,77200.0,77167.13,77200.0,0.07751,2026-04-18 00:15:00+00:00,BTC/USDT
1776471600000,77212.45,77212.45,77189.59,77204.74,0.08426,2026-04-18 00:20:00+00:00,BTC/USDT
1776471900000,77204.74,77204.74,77204.74,77204.74,0.0,2026-04-18 00:25:00+00:00,BTC/USDT
1776472200000,77244.45,77244.45,77039.09,77039.09,0.07965,2026-04-18 00:30:00+00:00,BTC/USDT
1776472500000,77088.84,77140.39,77050.92,77078.3,0.02125,2026-04-18 00:35:00+00:00,BTC/USDT
1776472800000,77058.26,77058.26,77041.72,77041.72,0.00039,2026-04-18 00:40:00+00:00,BTC/USDT
1776473100000,77003.51,77156.31,77003.51,77156.31,0.00135,2026-04-18 00:45:00+00:00,BTC/USDT
1776473400000,77149.39,77183.55,77131.36,77146.38,0.01613,2026-04-18 00:50:00+00:00,BTC/USDT
1776473700000,77169.65,77169.65,77169.65,77169.65,0.0008,2026-04-18 00:55:00+00:00,BTC/USDT
1776474000000,77190.16,77190.16,77125.13,77150.12,0.04648,2026-04-18 01:00:00+00:00,BTC/USDT
1776474300000,77203.45,77212.74,77182.06,77198.23,0.01293,2026-04-18 01:05:00+00:00,BTC/USDT
1776474600000,77182.4,77327.52,77182.4,77327.52,0.01009,2026-04-18 01:10:00+00:00,BTC/USDT
1776474900000,77315.03,77328.26,77290.21,77293.46,0.02882,2026-04-18 01:15:00+00:00,BTC/USDT
1776475200000,77342.4,77342.4,77283.01,77283.01,0.01003,2026-04-18 01:20:00+00:00,BTC/USDT
1776475500000,77326.27,77326.27,77277.43,77299.45,0.01514,2026-04-18 01:25:00+00:00,BTC/USDT
1776475800000,77299.45,77299.45,77299.45,77299.45,0.0,2026-04-18 01:30:00+00:00,BTC/USDT
1776476100000,77280.08,77280.08,77221.36,77221.36,0.00056,2026-04-18 01:35:00+00:00,BTC/USDT
1776476400000,77246.47,77259.09,77225.04,77259.09,0.00723,2026-04-18 01:40:00+00:00,BTC/USDT
1776476700000,77253.44,77273.46,77190.8,77190.8,0.05123,2026-04-18 01:45:00+00:00,BTC/USDT
1776477000000,77201.18,77201.18,77189.63,77189.63,0.00851,2026-04-18 01:50:00+00:00,BTC/USDT
1776477300000,77192.84,77231.4,77184.51,77226.93,0.0388,2026-04-18 01:55:00+00:00,BTC/USDT
1776477600000,77146.19,77146.19,77146.19,77146.19,0.00016,2026-04-18 02:00:00+00:00,BTC/USDT
1776477900000,77201.79,77274.82,77182.62,77274.82,0.00064,2026-04-18 02:05:00+00:00,BTC/USDT
1776478200000,77243.08,77301.89,77243.08,77301.89,0.00615,2026-04-18 02:10:00+00:00,BTC/USDT
1776478500000,77298.72,77365.33,77298.72,77365.33,0.00045,2026-04-18 02:15:00+00:00,BTC/USDT
1776478800000,77354.62,77354.62,77332.96,77332.96,0.00543,2026-04-18 02:20:00+00:00,BTC/USDT
1776479100000,77345.14,77345.14,77335.5,77335.5,0.00664,2026-04-18 02:25:00+00:00,BTC/USDT
1776479400000,77293.5,77293.5,77274.03,77274.03,0.00531,2026-04-18 02:30:00+00:00,BTC/USDT
1776479700000,77259.9,77381.47,77259.9,77381.47,0.01473,2026-04-18 02:35:00+00:00,BTC/USDT
1776480000000,77300.86,77300.86,77300.86,77300.86,0.00119,2026-04-18 02:40:00+00:00,BTC/USDT
1776480300000,77315.5,77331.0,77311.39,77311.39,0.03961,2026-04-18 02:45:00+00:00,BTC/USDT
1776480600000,77292.8,77305.83,77292.8,77301.03,0.00272,2026-04-18 02:50:00+00:00,BTC/USDT
1776480900000,77301.03,77301.03,77301.03,77301.03,0.0,2026-04-18 02:55:00+00:00,BTC/USDT
1776481200000,77298.08,77298.08,77227.48,77295.86,0.07182,2026-04-18 03:00:00+00:00,BTC/USDT
1776481500000,77285.61,77296.61,77276.4,77294.85,0.00341,2026-04-18 03:05:00+00:00,BTC/USDT
1776481800000,77282.22,77297.84,77270.83,77270.83,0.03664,2026-04-18 03:10:00+00:00,BTC/USDT
1776482100000,77262.41,77262.41,77227.48,77255.81,0.24651,2026-04-18 03:15:00+00:00,BTC/USDT
1776482400000,77255.81,77255.81,77255.81,77255.81,0.0,2026-04-18 03:20:00+00:00,BTC/USDT
1776482700000,77207.0,77219.03,77207.0,77219.03,0.00678,2026-04-18 03:25:00+00:00,BTC/USDT
1776483000000,77166.24,77172.47,77155.26,77172.47,0.00065,2026-04-18 03:30:00+00:00,BTC/USDT
1776483300000,77173.11,77173.11,77135.65,77159.89,0.0069,2026-04-18 03:35:00+00:00,BTC/USDT
1776483600000,77163.14,77189.65,77160.13,77164.66,0.00016,2026-04-18 03:40:00+00:00,BTC/USDT
1776483900000,77135.4,77135.4,77135.4,77135.4,4e-05,2026-04-18 03:45:00+00:00,BTC/USDT
1776484200000,77192.23,77200.85,77030.0,77030.0,0.04556,2026-04-18 03:50:00+00:00,BTC/USDT
1776484500000,77003.51,77012.19,76985.12,76999.47,0.84975,2026-04-18 03:55:00+00:00,BTC/USDT
1776484800000,76994.39,77064.96,76989.09,77064.96,0.01434,2026-04-18 04:00:00+00:00,BTC/USDT
1776485100000,77064.47,77093.08,77064.47,77079.0,0.00738,2026-04-18 04:05:00+00:00,BTC/USDT
1776485400000,77086.21,77103.29,77064.87,77071.3,0.00184,2026-04-18 04:10:00+00:00,BTC/USDT
1776485700000,77090.93,77090.93,77012.76,77018.5,0.01307,2026-04-18 04:15:00+00:00,BTC/USDT
1776486000000,76986.43,76986.43,76986.43,76986.43,0.00019,2026-04-18 04:20:00+00:00,BTC/USDT
1776486300000,77004.76,77016.88,76962.48,76962.48,0.13496,2026-04-18 04:25:00+00:00,BTC/USDT
1776486600000,76897.67,76938.39,76897.67,76938.39,0.02596,2026-04-18 04:30:00+00:00,BTC/USDT
1776486900000,76967.66,77052.33,76967.66,77052.32,0.01787,2026-04-18 04:35:00+00:00,BTC/USDT
1776487200000,77066.11,77082.33,77013.1,77013.1,0.04316,2026-04-18 04:40:00+00:00,BTC/USDT
1776487500000,77014.1,77061.99,77014.1,77061.99,0.03269,2026-04-18 04:45:00+00:00,BTC/USDT
1776487800000,77076.47,77100.49,77076.47,77100.49,0.0001,2026-04-18 04:50:00+00:00,BTC/USDT
1776488100000,77072.07,77170.25,77072.07,77170.25,0.00104,2026-04-18 04:55:00+00:00,BTC/USDT
